Sample,Sample timing,Township,Field,Location ID,Area,Distance,Category,Crop,Year,Date collected,%L-Tox,%AF36,%L-atox,%S,%tamarii,cfu/g,CFU L-tox,CFU AF36,CFU S,CFU tamarii,Lat,Long,Geometry,Polygon Points
AZT22S01,Pre-treatment,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,32.514965,-109.9321686,"(32°3051""N, 109°5929""W), (32°3048""N, 109°5939""W), (32°3039""N, 109°5944""W), (32°3030""N, 109°5941""W), (32°3026""N, 109°5929""W), (32°3030""N, 109°5917""W), (32°3039""N, 109°5914""W), (32°3048""N, 109°5918""W)","(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT22S30,Fall,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2022,8/10/2022,33,11,56,0,0,6,2,1,0,0,,,nan,"(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT21S01,Pre-treatment,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2021,6/30/2021,20,80,0,0,0,11,2,9,0,0,,,nan,"(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT21S29,Fall,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT21S02,Pre-treatment,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2021,6/30/2021,71,12,0,0,18,67,47,8,0,12,32.5159431,-109.9832606,"(32°3051""N, 109°5919""W), (32°3051""N, 109°5915""W), (32°3048""N, 109°5915""W), (32°3048""N, 109°5919""W)","(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT21S30,Fall,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2021,10/9/2021,100,0,0,0,0,833,833,0,0,0,,,nan,"(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT22S02,Pre-treatment,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2022,,60,0,33,0,7,267,160,0,0,18,,,nan,"(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT22S31,Fall,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2022,8/10/2022,20,7,20,0,53,37,7,2,0,20,,,nan,"(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT21S03,Pre-treatment,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2021,6/30/2021,ND,ND,ND,ND,ND,0,0,0,0,0,32.4859976,-109.9225051,"(32°2959""N, 109°5725""W), (32°2956""N, 109°5736""W), (32°2947""N, 109°5741""W), (32°2937""N, 109°5736""W), (32°2933""N, 109°5726""W), (32°2937""N, 109°5714""W), (32°2946""N, 109°5710""W), (32°2955""N, 109°5714""W)","(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT21S31,Fall,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
